country,adjusted_satisfaction,avg_satisfaction,std_satisfaction,avg_income,median_income,income_inequality,region,GDP,happyScore
Armenia,37,4.9,2.42,2096.76,1731.506667,31.44555556,'Central and Eastern Europe',0.76821,4.35
Angola,26,4.3,3.19,1448.88,1044.24,42.72,'Sub-Saharan Africa',0.75778,4.033
Argentina,60,7.1,1.91,7101.12,5109.4,45.47555556,'Latin America and Caribbean',1.05351,6.574
Austria,59,7.2,2.11,19457.04,16879.62,30.29625,'Western Europe',1.33723,7.2
Australia,65,7.6,1.8,19917,15846.06,35.285,'Australia and New Zealand',1.33358,7.284
Azerbaijan,46,5.8,2.27,3381.6,2931.48,24.215,'Central and Eastern Europe',1.02389,5.212
Bangladesh,43,5.3,2.1,1265.34,994.14,32.665,'Southern Asia',0.39753,4.694
Belgium,63,7.2,1.72,17168.505,15166.455,28.745,'Western Europe',1.30782,6.937
Burkina Faso,37,4.4,2.02,870.84,630.24,39.76,'Sub-Saharan Africa',0.25812,3.587
Bulgaria,34,4.6,2.57,5354.82,4523.565,34.1625,'Central and Eastern Europe',1.01216,4.218
Burundi,25,2.9,1.96,572.88,436.92,33.36,'Sub-Saharan Africa',0.0153,2.905
Benin,20,3,2.7,989.04,657,43.44,'Sub-Saharan Africa',0.28665,3.34
Bolivia,53,6.3,1.9,3985.71,2584.47,51.61,'Latin America and Caribbean',0.68133,5.89
Brazil,56,6.9,2.19,5567.235,3294.18,54.33375,'Latin America and Caribbean',0.98124,6.983
Botswana,36,4.7,2.42,3484.68,1632.6,60.46,'Sub-Saharan Africa',0.99355,4.332
Belarus,47,5.5,1.99,5453.933333,4814.453333,27.75444444,'Central and Eastern Europe',1.03192,5.813
Canada,69,8,1.71,20190.78,16829.1,33.79,'North America',1.32629,7.427
Switzerland,70,8,1.62,23400.04,19442.92,32.93,'Western Europe',1.39651,7.587
Chile,55,6.8,2.13,7557.99,4448.01,51.27,'Latin America and Caribbean',1.10715,6.67
Cameroon,36,3.9,1.69,1490.52,1030.08,42.82,'Sub-Saharan Africa',0.4225,4.252
China,48,6.2,2.43,2673.642857,2108.13,37.57928571,'Eastern Asia',0.89012,5.14
Colombia,65,7.9,2.09,4618.062857,2618.674286,54.81571429,'Latin America and Caribbean',0.91861,6.477
Costa Rica,73,8.5,1.71,6901.466667,4373.52,49.01888889,'Latin America and Caribbean',0.95578,7.226
Cyprus,58,7.1,2.07,10493.955,8624.295,31.84,'Western Europe',1.20813,5.689
Czech Republic,54,6.6,2.13,9430.905,8363.37,26.41375,'Central and Eastern Europe',1.17898,6.505
Germany,61,7.2,1.99,19285.96,16291.26,31.54166667,'Western Europe',1.32792,6.75
Djibouti,43,5.7,2.54,1875.24,1348.74,44.63,'Sub-Saharan Africa',0.44025,4.369
Denmark,74,8.4,1.53,17496.51,15630.885,28.155,'Western Europe',1.32548,7.527
Dominican Republic,60,7.5,2.33,4430.76,2836.453333,48.41777778,'Latin America and Caribbean',0.89537,4.885
Ecuador,57,6.8,1.99,3835.653333,2435.266667,50.09555556,'Latin America and Caribbean',0.86402,5.975
Estonia,50,6.2,2.19,7906.725,6540.135,32.5275,'Central and Eastern Europe',1.15174,5.429
Spain,60,7,1.85,13842.99,11782.395,34.625,'Western Europe',1.23011,6.329
Ethiopia,33,4.2,2.25,1050.72,857.16,33.17,'Sub-Saharan Africa',0.19073,4.512
Finland,70,7.9,1.53,17310.195,14962.56,27.72375,'Western Europe',1.29025,7.406
France,52,6.4,2.15,18096.78857,14971.25143,32.25571429,'Western Europe',1.27778,6.575
Gabon,34,4.2,2.21,2520.96,1791.48,42.18,'Sub-Saharan Africa',1.06024,3.896
United Kingdom,60,7.1,1.98,17099.55,14172.735,34.4325,'Western Europe',1.26637,6.867
Georgia,37,4.3,1.91,1957.266667,1483.773333,40.89444444,'Central and Eastern Europe',0.7419,4.297
Ghana,41,5.4,2.45,1577.04,1148.28,42.77,'Sub-Saharan Africa',0.54558,4.633
Greece,54,6.5,2.07,11507.565,9776.475,35.00125,'Western Europe',1.15406,4.857
Honduras,55,7,2.46,3080.44,1757.84,55.80555556,'Latin America and Caribbean',0.59532,4.788
Croatia,47,6,2.48,7828.08,6622.114286,32.00857143,'Central and Eastern Europe',1.08254,5.759
Hungary,42,5.5,2.48,6903.883636,6056.716364,29.55545455,'Central and Eastern Europe',1.12094,4.8
Indonesia,50,6.1,2.14,1541.747368,1161.066667,34.90842105,'Southeastern Asia',0.82827,5.399
